ID externe,ID,Référence interne,Nom,Quantité en stock,Catégorie de produits/Nom,Fournisseurs,Prix d'achat,Prix de vente
__export__.product_template_21493_84282f71,21493,, DISHWASHING LIQUID RAINETT LIQUIDE VAISSELLE RAINETT,0.00,Non Food / Hygiene,METRO,2.15,0.00
__export__.product_template_25344_fc4a2906,25344,," Fond de veau, 1 L",0.00,Saleable,,0.00,19.98
__export__.product_template_28592_c7d4a6af,28592,ALAINJUS042, GIMGEMBRE LIME INFUSION 33CL -INFUSION CITRON VERT GIMGEMBRE 33CL,24.00,All,ALAIN MILLIAT,0.00,0.00
__export__.product_template_27248_98cbaa27,27248,ITALIA160, GUTTIA BREAD-250GR  PAIN GUTTIAU-250GR,0.00,Dry Goods,GASTRONOMIE ITALIANE,5.03,9.99
__export__.product_template_21329_6079d147,21329,ENT0780, HAND CREAM NEUTROGENA CREME MAINS NEUTROGENA ,0.00,Non Food / Hygiene,PHARMACIE,9.25,15.42
__export__.product_template_28118_880a3022,28118,MARC06, HONEY MUSTARD 170G-MOUTARDE AU MIEL 170G,24.00,All,MAISON MARC,2.90,6.50
__export__.product_template_24551_f164636f,24551,ALC096, LIQUEUR RHUBARB GINGER EDINBURGH - 50CL E LIQUEUR RHUBARBE GINGEMBRE EDINBURGH - 50CL,0.00,Alcohol & Spirits,METRO,25.04,35.46
__export__.product_template_21034_3f0bda37,21034,CROISSANT10, MINI PAIN CREME LENOTRE - 40G X 60 MINI PAIN CREME LENOTRE - 40G X 60,0.00,Frozen,GAMME DES CHEFS,12.48,24.36
__export__.product_template_22895_ba51b39a,22895,DAI0908, MOZZARELLA BOCCOCINI - 15G X 50 MOZZARELLA BOCCOCINI - 15G X 50,0.00,Eggs & Dairy,METRO,8.75,7.80
__export__.product_template_26947_5d2773cc,26947,VEG233, OXALIS YELLOW SMALL PUNNETS - OXALIS JAUNE PETIT BARQUETTES,0.00,Vegetables,LES HALLES TROTTEMANT,0.00,0.00
__export__.product_template_27312_de28de74,27312,CON780, SRIRACHA TABASCO 256ML -  SRIRACHA TABASCO 256ML,0.00,All,CARREFOUR,3.33,6.00
__export__.product_template_20193_4326134c,20193,KEREX055, THREE PEPPERCORNS - 75GR ASSEMBLAGE TROIS POIVRES - 75GR,11.00,Dry Goods,KEREX (TERRE EXOTIQUE),5.60,10.70
__export__.product_template_24871_4931fe6c,24871,DAI0002, WHIPPED CREAM CHANTILLY 500MLCREME CHANTILLY PRESIDENT 500ML,0.00,Eggs & Dairy,METRO,3.14,5.97
__export__.product_template_24876_6a068919,24876,PN009," WHITE BREAD SLICED JACQUET - 550GRPAIN DE MIE BLANC, 550GR",0.00,Bakery Goods,,0.00,3.99
__export__.product_template_24382_dae8b4ef,24382,ALC083, WHITE WINE GAVI LA SCOLACA 2020 VIN BLANC GAVI LA SCOLACA 2020,0.00,Alcohol & Spirits,LA TREILLE D'OR,33.00,25.50
__export__.product_template_24837_7a8fab9a,24837,KAVIARI03, WILD SALMON ROE KAVIARI - 100GROEUFS SAUMON SAUVAGE KAVIARI - 100G,6.00,Fish & Seafood,KAVIARI,12.16,22.36
__export__.product_template_23495_ccc9bb98,23495,DAI0020, YOGHURT MIX FRUIT 0% YOPLAIT - 8 X 125G YAOURTS AUX FRUITS 0% YOPLAIT - 8 X 125G,0.00,Eggs & Dairy,METRO,0.48,0.91
__export__.product_template_28673_7ca443c1,28673,,"""è-à&à_'(éàéé",0.00,All,,0.00,0.00
__export__.product_template_28674_9e77e787,28674,,"""è-à&à_'(éàéé""è-à&à_'(éàéé",0.00,All,,0.00,0.00
__export__.product_template_28675_6b7f3b43,28675,,"""è-à&à_'(éàéé""è-à&à_'(éàéé""è-à&à_'(éàéé",0.00,All,,0.00,0.00
__export__.product_template_24459_5dfa8b78,24459,DRK052,0% BEER 1664 - 33CL X 12 BIERE 0% 1664 - 33CL X 12,0.00,Drinks,METRO,10.66,20.28
__export__.product_template_28605_254cb801,28605,,09/06/25 SAN REMO,0.00,All,,0.00,0.00
__export__.product_template_24173_3ef85f80,24173,BRD028,1/2 BAGUETTE 120G X 8 1/2 BAGUETTE 120G X 8 ,0.00,Bakery Goods,METRO,1.98,13.99
__export__.product_template_23184_aae1eba3,23184,SF0081,1/2 LANGOUSTE CGL - KG 1/2 LANGOUSTE CGL - KG,0.00,Fish & Seafood,ARMARA,14.50,0.00
__export__.product_template_24460_6ea88c69,24460,DRK0073,1665 BEER - 33CL X 24 1664 BIERE - 33CL X 24,0.00,Alcohol & Spirits,CARREFOUR,17.28,33.06
__export__.product_template_25320_368c9029,25320,,1ltr ziplock bags x20,0.00,All,,0.00,3.90
__export__.product_template_27418_73aeb8aa,27418,,2 x 150g Phili cheese spread,0.00,All,,0.00,0.00
__export__.product_template_26923_2be243c2,26923,,"2001 Chateau Suduiraut, Sauternes, Bordeaux, France, 2001",0.00,All,,0.00,164.70
__export__.product_template_28404_96f9b3cc,28404,,3 BOITES ISI CAPS ISI WHIP,0.00,All,,0.00,79.90
__export__.product_template_28670_209b415c,28670,,3347430008730,0.00,All,,0.00,0.00
__export__.product_template_28583_06b77cb0,28583,,3549881120973,0.00,All,,0.00,0.00
__export__.product_template_25319_cd9cdb99,25319,,3ltr ziplock bags,0.00,All,,0.00,5.95
__export__.product_template_22637_c8698cc6,22637,BIO095,4 SPICES GROUND ORGANIC - 50GR QUATRE EPICES BIO - 50GR,0.00,Dry Goods,KEREX (TERRE EXOTIQUE),3.73,8.00
__export__.product_template_21654_0504e70f,21654,ASI0046,5 SPICE CHINESE 5 ÉPICES CHINOIS,0.00,Asian Products,ASIA FRERES,5.95,12.42
__export__.product_template_20371_b1996c2d,20371,EPI0058,5 SPICES - 100ML 5 EPICES - 100ML,3.00,Dry Goods,SORIPA GASTRONOMIE,4.85,7.82
__export__.product_template_20388_69f7e03e,20388,EPI0054,5 SPICES - 1L 5 EPICES - 1L,12.00,Dry Goods,SORIPA GASTRONOMIE,9.78,19.56
__export__.product_template_28367_a9188edf,28367,DRK0107,7UP 33CL X 24,0.00,All,,0.00,22.57
__export__.product_template_28356_6412b6c3,28356,,7UP ZERO 6X33CL ,0.00,All,AUCHAN,3.48,6.90
__export__.product_template_22025_fb88fc00,22025,TEX0009,A1 STEAK SAUCE - 283GR A1 STEAK SAUCE - 283GR,0.00,Dry Goods,MY AMERICAN MARKET,5.95,16.53
__export__.product_template_22917_c4a178a5,22917,FRM0128,ABONDANCE FERMIERE - KG ABONDANCE FERMIERE - KG,0.00,Eggs & Dairy,LA GRANDE CREMERIE,22.38,42.92
__export__.product_template_28521_f5d26dcb,28521,,ABSINTH LUSID,0.00,All,XO VIN,54.00,103.00
__export__.product_template_25230_b34be3f3,25230,ALC154,ABSOLUT VODKA 70CL,0.00,All,METRO,13.35,26.70
__export__.product_template_20677_63477664,20677,PLANTIN36,ACACIA HONEY SUMMER TRUFFLE 90GR MIEL ACACIA TRUFFE D'ETE - 90GR,6.00,Fine Food Products,PLANTIN,4.95,11.42
